"","member_casual","month","number_of_rides","avg_duration"
"1","casual","Jan",23405,11.9733133319266
"2","casual","Feb",27003,12.3812305891824
"3","casual","Mar",82864,17.8853664578886
"4","casual","Apr",105260,18.6556319477222
"5","casual","May",175655,20.8317474520148
"6","casual","Jun",278702,21.9086792204604
"7","casual","Jul",308446,21.4385963101603
"8","casual","Aug",323533,21.7100857183032
"9","casual","Sep",254727,19.5518895514955
"10","casual","Oct",214343,18.0579230230671
"11","casual","Nov",90590,16.3735522421643
"12","casual","Dec",37360,13.8369386554198
"13","member","Jan",112331,9.97950266518934
"14","member","Feb",122097,9.95784597916044
"15","member","Mar",208458,11.1291250841066
"16","member","Apr",257921,11.2734983882692
"17","member","May",313996,11.9001351280469
"18","member","Jun",379523,12.8465269744807
"19","member","Jul",430394,13.1549663255468
"20","member","Aug",443130,13.0782896548029
"21","member","Sep",440954,12.6163580303935
"22","member","Oct",414055,12.098295289916
"23","member","Nov",238773,10.9276973620685
"24","member","Dec",137569,10.61059759999
